Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:km,Short name:en,Short name:km,Description:en,Description:km,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1500
,,,Cambodia_Postpartum,Cambodia_Postpartum,Post partum/abortion,អតិថិជនផ្ទុកមេរោគអេដស៍ទទួលយកមធ្យោបាយ,,,Misc,N/A,,,,,,,,,,,
,,,Cambodia_HIV,Cambodia_HIV,HIV-AIDS client ,ចែកចាយមធ្យោបាយពន្យរកំណើតតាមសហគម៍​,,,Misc,N/A,,,,,,,,,,,
,,,Cambodia_Acceptor,Cambodia_Acceptor,Birth Spacing type,អ្នកទទួលយកកម្មវិធី​,,,Question,Coded,,Cambodia_Postpartum;Cambodia_HIV;,,,,,,,,,
,,,Cambodia_COC,Cambodia_COC,Combined Oral Contraceptive - COC,ថ្នាំគ្រាប់(បន្ទះ) COC (ថ្នាំ​គ្រាប់),,,Misc,N/A,,,,,Pills,,,0,,,
,,,Cambodia_POP,Cambodia_POP,Progesterone Only Pills - POP,ថ្នាំគ្រាប់(បន្ទះ) POP (ថ្នាំ​គ្រាប់),,,Misc,N/A,,,,,Pills,,,0,,,
,,,Cambodia_Injections,Cambodia_Injections,Injections,ថ្នាំចាក់ (ដូស),,,Misc,N/A,,,,,Doses,,,0,,,
,,,Cambodia_Condoms,Cambodia_Condoms,Condoms,ស្រោមសម្រាប់បុរស (ឯកតា),,,Misc,N/A,,,,,Units,,,0,,,
,,,Cambodia_Femidoms,Cambodia_Femidoms,Femidoms,ដាក់កងក្នុងស្បូន (ឯកតា),,,Misc,N/A,,,,,Units,,,0,,,
,,,Cambodia_IUD,Cambodia_IUD,Intra-Uterus Devices - IUD,ចងបំពង់បង្លូរមេជីវិតបុរស IUD (ឯកតា),,,Misc,N/A,,,,,Units,,,0,,,
,,,Cambodia_Implants,Cambodia_Implants,Implants,ចងដៃស្បូន (ឯកតា),,,Misc,N/A,,,,,Units,,,0,,,
,,,Cambodia_Stopped Contraception,Cambodia_Stopped Contraception,Stopped using contraception this month?,អ្នកបោះបង់ការពន្យាកំណើតខែ​នេះ?,,,Question,Boolean,,,,,,,,,,,
,,,Cambodia_Vasectomy,Cambodia_Vasectomy,Vasectomy (husband),ចងបំពង់បង្ហូរ មេជីវិតបុរស,,,Misc,N/A,,,,,,,,,,,
,,,Cambodia_Tubectomy,Cambodia_Tubectomy,Tubectomy,ចងដៃ ស្បូន ,,,Misc,N/A,,,,,,,,,,,
,,,Cambodia_Contraceptives Past,Cambodia_Contraceptives Past,Contraceptives Past,មធ្យោបាយពន្យារកំណើត ដែលបានប្រើកន្លងមក,,,Question,Coded,,Cambodia_COC; Cambodia_POP; Cambodia_Injections; Cambodia_Condoms; Cambodia_Femidoms; Cambodia_IUD; Cambodia_Implants; ,,,,,,,,,
,,,Cambodia_Contraceptives Present,Cambodia_Contraceptives Present,Contraceptives Present,មធ្យោបាយពន្យារកំណើត ដែលកំពុងប្រើ,,,Question,Coded,,Cambodia_COC; Cambodia_POP; Cambodia_Injections; Cambodia_Condoms; Cambodia_Femidoms; Cambodia_IUD; Cambodia_Implants; ,,,,,,,,,
,,,Cambodia_Contraceptives Received,Cambodia_Contraceptives Received,Contraceptives Received,មធ្យោបាយពន្យារកំណើត ដែលទទួលថ្ងៃនេះ,,,Question,Coded,,Cambodia_COC; Cambodia_POP; Cambodia_Injections; Cambodia_Condoms; Cambodia_Femidoms; Cambodia_IUD; Cambodia_Implants; ,,,,,,,,,
,,,Cambodia_Birth Spacing,Cambodia_Birth Spacing,Birth Spacing,ពន្យារកំណើត,,,Misc,N/A,,,,,,,,,,,
,,,Cambodia_ECP,Cambodia_ECP,Emergency Contraception Pill(ECP),ការពារកំណើតបន្ទាន់,,,Misc,N/A,,,,,,,,,,,
,,,Cambodia_Contraceptive Education,Cambodia_Contraceptive Education,Education Topic,ការពិភាក្សាផ្សេងៗ,,,Question,Coded,,Cambodia_Birth Spacing; Cambodia_ECP;,,,,,,,,,
,,,Cambodia_Birth Spacing Notes,Cambodia_Birth Spacing Notes,Birth Spacing Notes,សម្គាល់ពន្យារកំណើត  ,,,Question,Text,,,,,,,,,,,
,,,Cambodia_Birth Spacing Form,Cambodia_Birth Spacing Form,Birth Spacing,ពន្យារកំណើត  ,Birth Spacing,,ConvSet,N/A,,,Cambodia_Acceptor; Cambodia_Stopped Contraception;Cambodia_Contraceptives Past; Cambodia_Contraceptives Present; Cambodia_Contraceptives Received; Cambodia_Contraceptive Education; Cambodia_Birth Spacing Notes;,,,,,,,,
