Uuid,Fully specified name:en,Fully specified name:km_KH,Short name:en,Short name:km_KH,Description:en,Description:km_KH,Data class,Data type,Answers,Members,_version:nested,_order:1000
,CAMBODIA_Khmer,CAMBODIA_Khmer,Khmer,ខ្មែរ,,,Misc,Text,,,,
,CAMBODIA_Cham,CAMBODIA_Cham,Cham,ចាម,,,Misc,Text,,,,
,CAMBODIA_Kuy,CAMBODIA_Kuy,Kuy,កួយ,,,Misc,Text,,,,
,CAMBODIA_Phnong,CAMBODIA_Phnong,Phnong,ព្នង,,,Misc,Text,,,,
,CAMBODIA_Tampuan,CAMBODIA_Tampuan,Tampuan,ទំពួន,,,Misc,Text,,,,
,CAMBODIA_Jarai,CAMBODIA_Jarai,Jarai,ចារ៉ាយ,,,Misc,Text,,,,
,CAMBODIA_Krung,CAMBODIA_Krung,Krung,គ្រឹង,,,Misc,Text,,,,
,CAMBODIA_Prov,CAMBODIA_Prov,Prov,ព្រៅ,,,Misc,Text,,,,
,CAMBODIA_Kavet,CAMBODIA_Kavet,Kavet,កាវែត,,,Misc,Text,,,,
,CAMBODIA_Kachok,CAMBODIA_Kachok,Kachok,កាចក់,,,Misc,Text,,,,
,CAMBODIA_Stieng,CAMBODIA_Stieng,Stieng,ស្ទៀង,,,Misc,Text,,,,
,CAMBODIA_Kraol,CAMBODIA_Kraol,Kraol,ក្រោល,,,Misc,Text,,,,
,CAMBODIA_Mil (Kachrouk),CAMBODIA_Mil (Kachrouk),Mil (Kachrouk),មិល (កាជ្រូក),,,Misc,Text,,,,
,CAMBODIA_Thmon,CAMBODIA_Thmon,Thmon,ថ្មូន,,,Misc,Text,,,,
,CAMBODIA_Khounh,CAMBODIA_Khounh,Khounh,ខោញ,,,Misc,Text,,,,
,CAMBODIA_Somray,CAMBODIA_Somray,Somray,សំរ៉ាយ,,,Misc,Text,,,,
,CAMBODIA_Por,CAMBODIA_Por,Por,ព័រ,,,Misc,Text,,,,
,CAMBODIA_Sa Ong (Suoy),CAMBODIA_Sa Ong (Suoy),Sa Ong (Suoy),សាអុង (សួយ),,,Misc,Text,,,,
,CAMBODIA_Sa'och,CAMBODIA_Sa'och,Sa'och,ស្អូច,,,Misc,Text,,,,
,CAMBODIA_Lao,CAMBODIA_Lao,Lao,ឡាវ,,,Misc,Text,,,,
,CAMBODIA_Vietnamese,CAMBODIA_Vietnamese,Vietnamese,វៀតណាម,,,Misc,Text,,,,
,CAMBODIA_Chinese Hakka,CAMBODIA_Chinese Hakka,Chinese Hakka,ចិន ខិ (ហាក់កា),,,Misc,Text,,,,
,CAMBODIA_Chinese Kantang,CAMBODIA_Chinese Kantang,Chinese Kantang,ចិនកន្តាំង,,,Misc,Text,,,,
,CAMBODIA_Chinese Hokkien,CAMBODIA_Chinese Hokkien,Chinese Hokkien,ចិនហុកកៀន,,,Misc,Text,,,,
,CAMBODIA_Chinese Teochew,CAMBODIA_Chinese Teochew,Chinese Teochew,ចិនទាជីវ,,,Misc,Text,,,,
,CAMBODIA_Other,CAMBODIA_Other,Other,ផ្សេងៗ,,,Misc,Text,,,,
,CAMBODIA_Nationality,CAMBODIA_Nationality,Nationality,សញ្ជាតិ,,,Question,Coded,CAMBODIA_Khmer; CAMBODIA_Cham; CAMBODIA_Kuy; CAMBODIA_Phnong; CAMBODIA_Tampuan; CAMBODIA_Jarai; CAMBODIA_Krung; CAMBODIA_Prov; CAMBODIA_Kavet; CAMBODIA_Kachok; CAMBODIA_Stieng; CAMBODIA_Kraol; CAMBODIA_Mil (Kachrouk); CAMBODIA_Thmon; CAMBODIA_Khounh; CAMBODIA_Somray; CAMBODIA_Por; CAMBODIA_Sa Ong (Suoy); CAMBODIA_Sa'och; CAMBODIA_Lao; CAMBODIA_Vietnamese; CAMBODIA_Chinese Hakka; CAMBODIA_Chinese Kantang; CAMBODIA_Chinese Hokkien; CAMBODIA_Chinese Teochew; CAMBODIA_Other,,,
