Uuid,Void/Retire,Name,Description,Format,Foreign uuid,Searchable,Edit privilege,_order:1000
c3bcd296-eb82-4451-a4b4-eedd1d5f322f,,impl.phoneNumber,impl.phoneNumber.desc,java.lang.String,,TRUE,,
1102f74e-ea2f-461e-b67f-db58bd136e5c,,impl.2ndPhoneNumber,impl.2ndPhoneNumber.desc,java.lang.String,,TRUE,,
23bc8d94-344b-4143-b3f5-999e7cc89786,,impl.email,impl.email.desc,java.lang.String,,TRUE,,
632d27a5-58c6-49f3-acb1-2a7b5855eaca,,impl.nationality,impl.nationality.desc,org.openmrs.Concept,c8b01687-086e-4f7e-ad0d-db77c423a2a7,,,
1df3e8c6-564e-4da9-9094-5d36f68100c9,,impl.distanceFromHealthCenter,impl.distanceFromHealthCenter.desc,org.openmrs.Concept,acf4c89a-1731-430a-aefd-a5db1fe96ee8,,,
f155a740-c252-4e45-bea6-51fd9706dcf7,,impl.other,impl.other.desc,java.lang.String,,,,
82325788-3f10-11e4-adec-0800271c1b75,,givenNameLocal,impl.givenNameKhmer.desc,java.lang.String,,TRUE,,
8233a58a-3f10-11e4-adec-0800271c1b75,,familyNameLocal,impl.familyNameKhmer.desc,java.lang.String,,TRUE,,
8234e7b0-3f10-11e4-adec-0800271c1b75,,middleNameLocal,impl.middleNamesKhmer.desc,java.lang.String,,,,
d055d71b-1ace-47a5-87ea-249eb029b592,,impl.guardianName,impl.guardianName.desc,java.lang.String,,TRUE,,
35e98d04-3981-4257-a593-fadd81bfc109,TRUE,cluster,,,,,,
3dfdc176-17fd-42b1-b5be-c7e25b78b602,TRUE,landHolding,,,,,,
6f32179b-c6b9-465e-a278-c15da2637630,TRUE,RationCard,,,,,,
9234695b-0f68-4970-aeb7-3b32d4a2b346,TRUE,isUrban,,,,,,
a10fe690-1c44-4ba8-a244-8fe51f9e61f7,TRUE,familyIncome,,,,,,
c1f4239f-3f10-11e4-adec-0800271c1b75,TRUE,caste,,,,,,
c1f455e7-3f10-11e4-adec-0800271c1b75,TRUE,class,,,,,,
c1f4a004-3f10-11e4-adec-0800271c1b75,TRUE,education,,,,,,
c1f7d1f1-3f10-11e4-adec-0800271c1b75,TRUE,occupation,,,,,,
c1f7fd17-3f10-11e4-adec-0800271c1b75,TRUE,primaryContact,,,,,,
c1f825c9-3f10-11e4-adec-0800271c1b75,TRUE,secondaryContact,,,,,,
c1f84df3-3f10-11e4-adec-0800271c1b75,TRUE,primaryRelative,,,,,,
c1f8880d-3f10-11e4-adec-0800271c1b75,TRUE,secondaryIdentifier,,,,,,
d1314f0f-c2d9-4223-88d9-ec4d2827c9da,TRUE,distanceFromCenter,,,,,,
fb3c00b1-81c8-40fe-89e8-6b3344688a13,TRUE,debt,,,,,,
